OBJECTID,GlobalID,last_edited_date,id,short_name,long_name,direction,rte_type,rte_color,agency_id,agency_nam,gen_date,end_date
5516,{E0875362-1EE4-4319-801D-0F19D5F40264},2023/03/28 18:27:07+00,,813,Atlanta University Center,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5517,{E0976F10-2998-4B71-B071-86147D66C80D},2023/03/28 18:27:07+00,,9,Boulevard / Tilson Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5518,{E1400A54-D4BF-4F9B-87DF-D7E81AB83D34},2023/03/28 18:27:07+00,,68,Benjamin E Mays Drive,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5519,{E1F53D2F-8AAB-4F45-9D63-B68FEB624AF3},2023/03/28 18:29:32+00,,440,Hampton/Jonesboro - DT/MT,,bus,,SRTA,SRTA,,
5520,{E1FBCD0D-DFB4-4DA6-A3DA-DACF247558B1},2023/03/28 18:27:07+00,,Blue,Blue,,"subway, metro",,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5521,{E1FF35B2-A1E2-4CCE-B882-257A5D5030C2},2023/03/28 18:27:07+00,,141,Haynes Bridge Road / Milton,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5522,{E49301E5-A6E9-47AD-A2F0-561857C5F07E},2023/03/28 18:27:07+00,,186,Rainbow Drive / South Dekalb,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5523,{E5BC0572-17B8-4AE1-9E76-39805DA4885A},2023/03/28 18:27:07+00,,49,Mcdonough Boulevard,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5524,{E7EBCC77-FBC4-4E88-A153-49EE3B57565F},2023/03/28 18:27:07+00,,101,Civic Center/Five Points/MTC,,bus,,COBBLINC,CobbLinc,,
5525,{E82AC094-E02A-48ED-87DD-0CFA67B069D0},2023/03/28 18:27:07+00,,102,Arts Center Station/Acworth P&R,,bus,,COBBLINC,CobbLinc,,
5526,{E88AAF74-F98D-4FA5-9716-1011CC632722},2023/03/28 18:27:07+00,,221,Memorial Drive Limited,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5527,{E8C170B5-2440-419E-9C9D-78AD9E59F5B8},2023/03/28 18:27:07+00,,32,Bouldercrest,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5528,{E8F32E2C-62B2-4ACA-900C-5C7F18B56D17},2023/03/28 18:27:07+00,,123,Church Street,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5529,{ED904FEE-F2B6-4BFF-8110-48998B62E2A1},2023/03/28 18:29:32+00,,441,Jonesboro - Downtown/Midtown,,bus,,SRTA,SRTA,,
5530,{EF076BB2-0FDB-43E4-AEED-B3945D418F92},2023/03/28 18:27:07+00,,107,Glenwood,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5531,{F1735D83-BD3D-427F-A1DB-650E0EC0CB1B},2023/03/28 18:27:07+00,,87,Roswell Road / Sandy Springs,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5532,{F1A9C852-F9B3-4A16-BF36-8CCCEBB20FAB},2023/03/28 18:27:07+00,,75,Lawrenceville Highway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5533,{F2C53F63-FAE3-4AC3-AD8E-BA7E6A7BD31F},2023/03/28 18:27:07+00,,865,Boulder Park Drive,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5534,{F42322F7-523B-4C00-B3B4-124959DF52D4},2023/03/28 18:27:07+00,,36,N Decatur Road / Virginia Highland,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5535,{F5A631B3-6CF4-4B34-B025-F6D71FF4354E},2023/03/28 18:27:07+00,,103,Peeler Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5536,{F5CA53CE-8745-423E-8396-4322ABBB05CB},2023/03/28 18:27:07+00,,12,Howell Mill Road / Cumberland,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5537,{F754EB95-AD58-45D0-BC87-A089505BCFC9},2023/03/28 18:27:07+00,,133,Shallowford Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5538,{F799B7A0-93D3-4212-BC7B-62540E4EF8C6},2023/03/28 18:29:32+00,,401,Cumming - Perimeter,,bus,,SRTA,SRTA,,
5539,{F7D4C98B-C6EA-4565-9880-81B9A1DE4EEF},2023/03/28 18:27:07+00,,10,Arts Center Station/Marietta TC,,bus,,COBBLINC,CobbLinc,,
5540,{FAEC80DF-70E7-4AFC-834D-14B9F6D67C9D},2023/03/28 18:27:07+00,,66,Lynhurst Drive / Princeton Lakes,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5541,{FEEC9A19-BB35-4C61-A149-C2AB1642A7CE},2023/03/28 18:27:07+00,,GREEN,Battery/Windy Hill,,bus,,COBBLINC,CobbLinc,,
